name,pH_min,pH_max,EC_min,EC_max,Temp_min,Temp_max,Cl_max,ORP_min,ORP_max,SALT_max,fruiting_boost,boost_pH_min,boost_pH_max,boost_EC_min,boost_EC_max,boost_Temp_min,boost_Temp_max
Generic,5.8,6.2,1000,2500,20,25,0.2,300,450,7500,,,,,,,
CherryTomato,5.8,6.0,1400,2000,20,25,0.2,300,450,750,1,6.0,6.3,1800.0,2800.0,20.0,26.0
BeefsteakTomato,5.8,6.0,1400,2000,20,25,0.2,300,450,750,1,6.0,6.3,2000.0,3500.0,20.0,26.0
BellPepper_Poblano_BananaPepper,5.8,6.0,1200,1800,22,26,0.2,300,450,750,1,6.0,6.3,1600.0,2400.0,22.0,26.0
ChiliPepper_Jalapeno_Cayenne,5.8,6.0,1200,1900,22,26,0.2,300,450,750,1,6.0,6.3,1600.0,2600.0,22.0,27.0
Habanero,5.8,6.0,1200,2000,22,27,0.2,300,450,750,1,6.0,6.3,1600.0,2800.0,22.0,28.0
Eggplant,5.8,6.0,1200,1800,22,26,0.2,300,450,750,1,6.0,6.3,1600.0,2400.0,22.0,26.0
Okra,5.8,6.2,1200,1800,22,27,0.2,300,450,750,1,6.0,6.5,1400.0,2200.0,22.0,28.0
BushBeans,5.8,6.2,1000,1400,18,24,0.2,300,450,500,1,6.0,6.3,1400.0,2000.0,18.0,24.0
PoleBeans,5.8,6.2,1000,1400,18,24,0.2,300,450,500,1,6.0,6.3,1400.0,2200.0,18.0,24.0
Peas_SnowPeas_SugarSnapPeas,5.8,6.2,800,1200,15,20,0.2,300,450,500,1,6.0,6.3,1200.0,1800.0,15.0,20.0
Edamame,5.8,6.2,1000,1400,18,24,0.2,300,450,750,1,6.0,6.3,1400.0,2000.0,18.0,24.0
Cantaloupe_HoneydewMelon_MiniWatermelon,5.8,6.2,1200,1600,22,26,0.2,300,450,750,1,6.0,6.3,1600.0,2400.0,22.0,26.0
Strawberry_EverbearingStrawberry_AlpineStrawberry,5.5,5.8,1000,1400,15,22,0.1,300,450,500,1,6.0,6.2,1400.0,2000.0,15.0,22.0
Lettuce_ButterheadLettuce_RomaineLettuce,6.0,6.2,1200,2000,18,22,0.1,300,450,5000,,,,,,,
Spinach_NewZealandSpinach,6.0,6.5,1200,1600,18,22,0.1,300,450,5000,,,,,,,
Kale_CollardGreens,6.0,6.5,1200,1800,18,22,0.2,300,450,10000,,,,,,,
Arugula,6.0,6.2,1500,1800,18,22,0.2,300,450,5000,,,,,,,
Endive_Escarole_Frisee_Radicchio,6.0,6.2,1000,1400,18,22,0.2,300,450,7500,,,,,,,
Mache,6.0,6.5,800,1200,15,20,0.2,300,450,7500,,,,,,,
Microgreens,5.5,5.8,400,700,18,22,0.2,300,450,7500,,,,,,,
BokChoy_Senposai_YukinaSavoy,6.0,6.5,1200,1600,18,22,0.2,300,450,7500,,,,,,,
Tatsoi_Komatsuna_Mibuna,6.0,6.2,1000,1400,18,22,0.2,300,450,7500,,,,,,,
MustardGreens,6.0,6.2,1200,1600,18,22,0.2,300,450,10000,,,,,,,
Mizuna,6.0,6.2,1000,1400,18,22,0.2,300,450,10000,,,,,,,
Watercress,6.0,6.5,700,1100,18,22,0.2,300,450,7500,,,,,,,
Amaranth,6.0,6.5,1200,1600,20,24,0.2,300,450,7500,,,,,,,
MalabarSpinach,6.0,6.5,1200,1600,22,26,0.1,300,450,5000,,,,,,,
Purslane,6.0,6.5,800,1200,18,22,0.2,300,450,7500,,,,,,,
Sorrel,6.0,6.5,1000,1400,18,22,0.2,300,450,7500,,,,,,,
Celtuce,6.0,6.5,1200,1600,18,22,0.2,300,450,7500,,,,,,,
SweetPotatoVine,6.0,6.5,1200,1600,20,24,0.2,300,450,10000,,,,,,,
GarlicChives,6.0,6.5,1000,1400,18,22,0.2,300,450,5000,,,,,,,
Basil_ThaiBasil_HolyBasil,5.8,6.2,1200,1800,20,24,0.1,300,450,5000,,,,,,,
Parsley,6.0,6.5,1000,1600,18,22,0.2,300,450,5000,,,,,,,
Cilantro,6.0,6.5,1000,1400,18,22,0.2,300,450,5000,,,,,,,
Dill,5.8,6.2,1000,1400,18,22,0.2,300,450,5000,,,,,,,
Mint_Peppermint_Spearmint,5.8,6.2,1200,1600,18,22,0.2,300,450,5000,,,,,,,
Chives,6.0,6.5,1000,1400,18,22,0.2,300,450,5000,,,,,,,
Oregano,6.0,6.5,1200,1800,18,22,0.2,300,450,7500,,,,,,,
Thyme_Sage_Tarragon_Marjoram,6.0,6.5,1000,1600,18,22,0.2,300,450,7500,,,,,,,
