name,pH_min,pH_max,EC_min,EC_max,Temp_min,Temp_max,Cl_max,ORP_min,ORP_max,SALT_max
Generic,5.8,6.2,1000,2500,20,25,0.2,300,450,750
Tomato - Seedling,5.5,5.8,800,1200,20,24,0.2,300,450,750
Tomato - Vegetative,5.8,6.0,1400,2000,20,25,0.2,300,450,750
Tomato - Flowering/Fruit,6.0,6.3,2000,3200,20,26,0.2,300,450,750
Cherry Tomato - Seedling,5.5,5.8,800,1200,20,24,0.2,300,450,750
Cherry Tomato - Vegetative,5.8,6.0,1400,2000,20,25,0.2,300,450,750
Cherry Tomato - Flowering/Fruit,6.0,6.3,1800,2800,20,26,0.2,300,450,750
Beefsteak Tomato - Vegetative,5.8,6.0,1400,2000,20,25,0.2,300,450,750
Beefsteak Tomato - Flowering/Fruit,6.0,6.3,2000,3500,20,26,0.2,300,450,750
Roma Tomato - Vegetative,5.8,6.0,1400,2000,20,25,0.2,300,450,750
Roma Tomato - Flowering/Fruit,6.0,6.3,2000,3200,20,26,0.2,300,450,750
Heirloom Tomato - Vegetative,5.8,6.0,1400,2000,20,25,0.2,300,450,750
Heirloom Tomato - Flowering/Fruit,6.0,6.3,2000,3200,20,26,0.2,300,450,750
Bell Pepper - Seedling,5.5,5.8,800,1200,22,25,0.2,300,450,750
Bell Pepper - Flowering/Fruit,6.0,6.3,1600,2400,22,26,0.2,300,450,750
Chili Pepper - Seedling,5.5,5.8,800,1200,22,25,0.2,300,450,750
Chili Pepper - Flowering/Fruit,6.0,6.3,1600,2600,22,27,0.2,300,450,750
Jalapeno - Seedling,5.5,5.8,800,1200,22,25,0.2,300,450,750
Jalapeno - Flowering/Fruit,6.0,6.3,1600,2600,22,27,0.2,300,450,750
Habanero - Seedling,5.5,5.8,800,1200,22,25,0.2,300,450,750
Habanero - Flowering/Fruit,6.0,6.3,1600,2800,22,28,0.2,300,450,750
Cayenne - Seedling,5.5,5.8,800,1200,22,25,0.2,300,450,750
Cayenne - Flowering/Fruit,6.0,6.3,1600,2600,22,27,0.2,300,450,750
Poblano - Seedling,5.5,5.8,800,1200,22,25,0.2,300,450,750
Poblano - Flowering/Fruit,6.0,6.3,1600,2400,22,26,0.2,300,450,750
Banana Pepper - Seedling,5.5,5.8,800,1200,22,25,0.2,300,450,750
Banana Pepper - Flowering/Fruit,6.0,6.3,1600,2400,22,26,0.2,300,450,750
Cucumber - Seedling,5.5,5.8,800,1200,20,24,0.2,300,450,750
Cucumber - Vegetative,5.5,5.8,1200,1600,20,24,0.2,300,450,750
Cucumber - Fruiting,5.8,6.0,1600,2400,20,25,0.2,300,450,750
Eggplant - Seedling,5.5,5.8,800,1200,22,25,0.2,300,450,750
Eggplant - Flowering/Fruit,6.0,6.3,1600,2400,22,26,0.2,300,450,750
Zucchini - Seedling,5.5,5.8,800,1200,20,24,0.2,300,450,750
Zucchini - Flowering/Fruit,6.0,6.3,1600,2400,20,25,0.2,300,450,750
Summer Squash - Seedling,5.5,5.8,800,1200,20,24,0.2,300,450,750
Summer Squash - Flowering/Fruit,6.0,6.3,1600,2400,20,25,0.2,300,450,750
Pattypan Squash - Seedling,5.5,5.8,800,1200,20,24,0.2,300,450,750
Pattypan Squash - Flowering/Fruit,6.0,6.3,1600,2400,20,25,0.2,300,450,750
Okra - Seedling,5.5,5.8,900,1300,22,26,0.2,300,450,750
Okra - Flowering/Fruit,6.0,6.5,1400,2200,22,28,0.2,300,450,750
Bush Beans - Vegetative,5.8,6.2,1000,1400,18,24,0.2,300,450,500
Bush Beans - Flowering/Fruit,6.0,6.3,1400,2000,18,24,0.2,300,450,500
Pole Beans - Vegetative,5.8,6.2,1000,1400,18,24,0.2,300,450,500
Pole Beans - Flowering/Fruit,6.0,6.3,1400,2200,18,24,0.2,300,450,500
Peas - Vegetative,5.8,6.2,800,1200,15,20,0.2,300,450,500
Peas - Flowering/Fruit,6.0,6.3,1200,1800,15,20,0.2,300,450,500
Snow Peas - Vegetative,5.8,6.2,800,1200,15,20,0.2,300,450,500
Snow Peas - Flowering/Fruit,6.0,6.3,1200,1800,15,20,0.2,300,450,500
Sugar Snap Peas - Vegetative,5.8,6.2,800,1200,15,20,0.2,300,450,500
Sugar Snap Peas - Flowering/Fruit,6.0,6.3,1200,1800,15,20,0.2,300,450,500
Edamame - Vegetative,5.8,6.2,1000,1400,18,24,0.2,300,450,750
Edamame - Flowering/Fruit,6.0,6.3,1400,2000,18,24,0.2,300,450,750
Cantaloupe - Vegetative,5.8,6.2,1200,1600,22,26,0.2,300,450,750
Cantaloupe - Flowering/Fruit,6.0,6.3,1600,2400,22,26,0.2,300,450,750
Honeydew Melon - Vegetative,5.8,6.2,1200,1600,22,26,0.2,300,450,750
Honeydew Melon - Flowering/Fruit,6.0,6.3,1600,2400,22,26,0.2,300,450,750
Mini Watermelon - Vegetative,5.8,6.2,1200,1600,22,26,0.2,300,450,750
Mini Watermelon - Flowering/Fruit,6.0,6.3,1600,2400,22,26,0.2,300,450,750
Strawberry - Vegetative,5.5,5.8,1000,1400,15,22,0.1,300,450,500
Strawberry - Fruiting,6.0,6.2,1400,2000,15,22,0.1,300,450,500
Everbearing Strawberry - Vegetative,5.5,5.8,1000,1400,15,22,0.1,300,450,500
Everbearing Strawberry - Fruiting,6.0,6.2,1400,2000,15,22,0.1,300,450,500
Alpine Strawberry - Vegetative,5.5,5.8,1000,1400,15,22,0.1,300,450,500
Alpine Strawberry - Fruiting,6.0,6.2,1400,2000,15,22,0.1,300,450,500
Lettuce - Seedling,5.5,5.8,600,900,18,22,0.1,300,450,500
Lettuce - Mature,6.0,6.2,1200,2000,18,22,0.1,300,450,500
Butterhead Lettuce - Seedling,5.5,5.8,600,900,18,22,0.1,300,450,500
Butterhead Lettuce - Mature,6.0,6.2,1200,2000,18,22,0.1,300,450,500
Romaine Lettuce - Seedling,5.5,5.8,600,900,18,22,0.1,300,450,500
Romaine Lettuce - Mature,6.0,6.2,1200,2000,18,22,0.1,300,450,500
Iceberg Lettuce - Seedling,5.5,5.8,600,900,18,22,0.1,300,450,500
Iceberg Lettuce - Mature,6.0,6.2,1200,2000,18,22,0.1,300,450,500
Spinach - Seedling,5.5,5.8,700,1000,18,22,0.1,300,450,500
Spinach - Mature,6.0,6.5,1200,1600,18,22,0.1,300,450,500
Kale - Seedling,5.5,5.8,700,1000,18,22,0.2,300,450,1000
Kale - Mature,6.0,6.5,1200,1800,18,22,0.2,300,450,1000
Arugula - Seedling,5.5,5.8,600,900,18,22,0.2,300,450,500
Arugula - Mature,6.0,6.2,1500,1800,18,22,0.2,300,450,500
Swiss Chard - Seedling,5.5,5.8,700,1000,18,22,0.2,300,450,1000
Swiss Chard - Mature,6.0,6.5,1200,1600,18,22,0.2,300,450,1000
Endive - Seedling,5.5,5.8,600,900,18,22,0.2,300,450,750
Endive - Mature,6.0,6.2,1000,1400,18,22,0.2,300,450,750
Escarole - Seedling,5.5,5.8,600,900,18,22,0.2,300,450,750
Escarole - Mature,6.0,6.2,1000,1400,18,22,0.2,300,450,750
Frisee - Seedling,5.5,5.8,600,900,18,22,0.2,300,450,750
Frisee - Mature,6.0,6.2,1000,1400,18,22,0.2,300,450,750
Radicchio - Seedling,5.5,5.8,600,900,18,22,0.2,300,450,750
Radicchio - Mature,6.0,6.2,1000,1400,18,22,0.2,300,450,750
Mache - Seedling,5.5,5.8,500,800,15,20,0.2,300,450,750
Mache - Mature,6.0,6.5,800,1200,15,20,0.2,300,450,750
Microgreens - Seedling,5.5,5.8,400,700,18,22,0.2,300,450,750
Broccoli - Seedling,5.5,5.8,800,1200,18,22,0.2,300,450,1000
